iter	Accuracy	MultiClass
0	0.7782926678	1.718387127
1	0.8932517866	1.500392906
2	0.925696405	1.345948396
3	0.936849401	1.221914208
4	0.9324283398	1.122961891
5	0.9383408232	1.024425721
6	0.9407932761	0.9302207908
7	0.9421709973	0.8573510483
8	0.9423682705	0.802831173
9	0.9443198193	0.7522064602
10	0.9460407587	0.6981164036
11	0.948344003	0.6504079853
12	0.9519493629	0.6071724564
13	0.9524885429	0.5657706444
14	0.9573230956	0.5331639639
15	0.9600506914	0.4986515032
16	0.9646104543	0.467664745
17	0.9653942773	0.4430213899
18	0.9658577945	0.4175421164
19	0.9662551095	0.3983861218
20	0.9681183616	0.3753793183
21	0.9696463944	0.3536121824
22	0.969233998	0.3367487693
23	0.9692244993	0.3237168619
24	0.9712206491	0.3053907833
25	0.976033727	0.2886374662
26	0.9771781244	0.2746559922
27	0.9785848748	0.2610928259
28	0.97971422	0.2490484436
29	0.9805623502	0.2371778886
30	0.9804496864	0.2268426508
31	0.980507766	0.2187766051
32	0.9806989958	0.2109721124
33	0.9800912302	0.2019038409
34	0.9829545272	0.1944681406
35	0.9834272507	0.188086393
36	0.9835528551	0.1802525551
37	0.9834799975	0.1747015669
38	0.9832344855	0.1678092374
39	0.9835291158	0.1607818658
40	0.9836381172	0.1556055803
41	0.9836709053	0.1526394941
42	0.9836350165	0.1480176933
43	0.9839180419	0.1438225354
44	0.9843211626	0.1380731728
45	0.9842500747	0.1328129061
46	0.9846308073	0.1273356167
47	0.9847427234	0.1239240071
48	0.9848687412	0.1191135592
49	0.9852897006	0.1151185083
50	0.9858440648	0.1123413128
51	0.98606323	0.1103462797
52	0.9862799638	0.1066360314
53	0.9866608301	0.1035774148
54	0.98664357	0.1022968726
55	0.9868934194	0.09879194923
56	0.9869004402	0.09630982798
57	0.9869596311	0.09457642742
58	0.9870857095	0.09333243785
59	0.9872856858	0.09034155917
60	0.9873778012	0.08813271427
61	0.9876639739	0.08567449601
62	0.9891351147	0.08419122556
63	0.989517839	0.08225880563
64	0.9897961631	0.07997100411
65	0.9902523898	0.07840916802
66	0.9905497378	0.07603747154
67	0.9913328426	0.07352025722
68	0.991820834	0.07122177965
69	0.992209409	0.06972090677
70	0.9923275088	0.06824586209
71	0.9921025047	0.06649119852
72	0.9921313379	0.06565371739
73	0.9925796473	0.06482348524
74	0.9926617793	0.06320897889
75	0.992870346	0.06213220199
76	0.9929996719	0.06115934883
77	0.9931082364	0.05985630367
78	0.993083743	0.05896370532
79	0.9933614033	0.05811280138
80	0.9935100877	0.05717512133
81	0.9935167353	0.05579764027
82	0.9935434348	0.05466820581
83	0.9936102658	0.05375619632
84	0.9934137907	0.05278727375
85	0.9936992266	0.05196681594
86	0.9938366982	0.05128198539
87	0.9941068265	0.05018507122
88	0.9941778767	0.04929424052
89	0.9942677353	0.04828401953
90	0.994387911	0.04765836608
91	0.9944637771	0.04668951151
92	0.9944247304	0.04624679121
93	0.9944699447	0.04522082253
94	0.9946362653	0.04439267745
95	0.9945626905	0.04367226685
96	0.9946418235	0.04309232052
97	0.994637487	0.04207103341
98	0.9946909	0.04111164175
99	0.9948694671	0.04055687307
