iter	Passed	Remaining
0	4617	457129
1	7670	375857
2	10410	336600
3	13051	313247
4	15576	295949
5	18411	288449
6	27631	367108
7	32423	372875
8	34636	350210
9	37588	338293
10	40986	331615
11	43704	320501
12	47562	318301
13	51396	315722
14	54559	309169
15	57395	301326
16	61367	299619
17	65244	297226
18	69008	294192
19	72725	290903
20	76619	288235
21	83108	294658
22	90733	303760
23	94412	298974
24	98063	294189
25	101614	289211
26	104143	281571
27	107119	275449
28	109659	268477
29	116415	271636
30	121302	269996
31	123824	263126
32	127105	258062
33	132256	256733
34	135234	251149
35	138275	245823
36	140613	239423
37	143980	234915
38	147487	230685
39	151463	227194
40	154196	221892
41	156557	216198
42	159411	211313
43	161766	205884
44	164484	201037
45	171664	201519
46	176972	199564
47	179367	194314
48	183506	190996
49	186637	186637
50	189398	181971
51	191780	177027
52	194647	172612
53	197704	168414
54	199981	163621
55	202963	159471
56	206302	155632
57	210218	152227
58	213837	148598
59	218543	145695
60	221795	141803
61	228098	139802
62	230902	135609
63	235220	132311
64	241882	130244
65	247346	127420
66	254235	125220
67	258353	121578
68	268938	120827
69	272887	116951
70	277049	113161
71	282955	110038
72	286243	105870
73	296760	104267
74	309839	103279
75	315271	99559
76	319027	95293
77	323041	91114
78	325363	86489
79	327803	81950
80	330913	77621
81	334147	73349
82	337339	69093
83	340631	64882
84	344224	60745
85	347418	56556
86	350037	52304
87	352711	48097
88	355610	43951
89	358138	39793
90	360476	35651
91	363686	31624
92	367262	27643
93	371039	23683
94	374329	19701
95	376941	15705
96	380181	11758
97	383297	7822
98	387535	3914
99	390560	0
